epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.52845,2.98115,4.14444,2.80964,0.00164,0.14286,0.00115,0.00026,3.61243,3.83876,3.33798,5e-05,5e-05,5e-05
2,3.39185,2.64628,4.03946,2.61393,0.00231,0.23214,0.00283,0.00039,3.50844,3.84476,3.36396,0.000111386,0.000111386,0.000111386
3,4.24157,2.59543,3.98292,2.57504,0.00491,0.41071,0.0037,0.00067,3.15385,3.87351,3.20438,0.000171535,0.000171535,0.000171535
4,5.06883,2.50469,3.79024,2.48583,0.00844,0.41071,0.00948,0.00267,3.362,3.88425,3.27219,0.000230446,0.000230446,0.000230446
5,5.91161,2.19097,3.60906,2.25624,0.00713,0.5,0.02781,0.00937,2.89429,3.87798,2.92787,0.00028812,0.00028812,0.00028812
6,6.72789,2.05025,3.4355,2.17448,0.00793,0.55357,0.03519,0.01085,2.54844,3.73346,2.69512,0.000344556,0.000344556,0.000344556
7,7.55504,1.94894,3.17013,2.04082,0.00524,0.55357,0.07485,0.02145,2.35117,3.54908,2.44077,0.000399755,0.000399755,0.000399755
8,8.36189,2.02782,3.17563,2.10416,0.00585,0.58929,0.07946,0.04159,2.39833,3.5079,2.49016,0.000453716,0.000453716,0.000453716
9,9.17704,1.99921,3.00385,2.04977,0.00721,0.64286,0.09428,0.03899,2.09445,3.57695,2.30794,0.00050644,0.00050644,0.00050644
10,9.96559,1.84777,2.77444,1.91936,0.00678,0.60714,0.11013,0.04259,2.17326,3.50677,2.40929,0.000557926,0.000557926,0.000557926
11,10.7636,1.7918,2.52758,1.85939,0.37026,0.14286,0.13065,0.04725,2.17055,3.44965,2.34794,0.000608175,0.000608175,0.000608175
12,11.5613,1.76412,2.55692,1.88,0.42315,0.19536,0.17933,0.08835,2.0218,3.35449,2.17887,0.000657186,0.000657186,0.000657186
13,12.3433,1.70804,2.41713,1.81258,0.95108,0.07375,0.18798,0.07725,2.00589,3.30485,2.18021,0.00070496,0.00070496,0.00070496
14,13.1205,1.79823,2.48004,1.91124,0.92114,0.07143,0.12425,0.04185,2.53241,3.18018,2.70682,0.000751496,0.000751496,0.000751496
15,13.8961,1.70706,2.27706,1.85282,0.614,0.14286,0.23131,0.09047,2.43294,2.87613,2.3793,0.000796795,0.000796795,0.000796795
16,14.6777,1.76958,2.37723,1.92998,0.67266,0.35714,0.45978,0.22129,2.33923,2.81728,2.32681,0.000840856,0.000840856,0.000840856
17,15.4723,1.774,2.22031,1.81995,0.82033,0.125,0.28484,0.08713,2.22271,2.71719,2.37594,0.00088368,0.00088368,0.00088368
18,16.2443,1.66448,2.00691,1.77939,0.72254,0.17063,0.23639,0.06981,2.3389,2.65417,2.54387,0.000925266,0.000925266,0.000925266
19,17.0179,1.63445,2.0616,1.73125,0.7083,0.22477,0.18751,0.0672,2.41681,2.60165,2.62564,0.000965615,0.000965615,0.000965615
20,17.7931,1.60363,2.08662,1.80114,0.49659,0.23413,0.23882,0.0911,2.36598,2.47345,2.62314,0.00100473,0.00100473,0.00100473
21,18.5672,1.58104,2.03123,1.77357,0.19756,0.34524,0.24586,0.09484,2.48256,2.38874,2.76156,0.0010025,0.0010025,0.0010025
22,19.3384,1.68914,2.00971,1.79798,0.19947,0.27994,0.22201,0.09471,2.78363,2.64166,3.08746,0.000990125,0.000990125,0.000990125
23,20.1105,1.5275,1.88344,1.69268,0.243,0.57738,0.28882,0.09916,2.82444,2.93133,3.19464,0.00097775,0.00097775,0.00097775
24,20.8905,1.52877,1.86731,1.68749,0.23919,0.47123,0.32292,0.15253,2.29904,2.32549,2.59832,0.000965375,0.000965375,0.000965375
25,21.6576,1.54949,1.91016,1.69398,0.27033,0.57566,0.47268,0.21721,2.27588,2.18592,2.56077,0.000953,0.000953,0.000953
26,22.4288,1.51086,1.70846,1.66625,0.73065,0.27183,0.3604,0.15567,2.34393,2.23132,2.78645,0.000940625,0.000940625,0.000940625
27,23.1984,1.47841,1.65942,1.62352,0.51042,0.2062,0.53234,0.21141,2.35791,2.37503,2.75668,0.00092825,0.00092825,0.00092825
28,23.9806,1.51519,1.72804,1.65037,0.76987,0.26153,0.30961,0.09624,2.46394,2.45004,2.66195,0.000915875,0.000915875,0.000915875
29,24.7496,1.52076,1.76723,1.66348,0.79594,0.28877,0.48242,0.15182,2.55442,2.45817,2.73782,0.0009035,0.0009035,0.0009035
30,25.5221,1.50808,1.71179,1.64376,0.49371,0.63501,0.46159,0.18312,2.49909,2.41369,2.65158,0.000891125,0.000891125,0.000891125
31,26.2934,1.53439,1.80711,1.69919,0.46796,0.61508,0.59693,0.28461,2.43083,2.31213,2.60966,0.00087875,0.00087875,0.00087875
32,27.0909,1.4631,1.65423,1.62313,0.42564,0.74008,0.66734,0.27659,2.21519,1.99589,2.48682,0.000866375,0.000866375,0.000866375
33,27.8652,1.40532,1.65652,1.58673,0.50907,0.64087,0.65799,0.30703,2.18881,2.05778,2.47037,0.000854,0.000854,0.000854
34,28.6504,1.51088,1.61439,1.58184,0.63178,0.7123,0.68964,0.32899,2.02183,1.9095,2.22358,0.000841625,0.000841625,0.000841625
35,29.4392,1.50313,1.66105,1.66567,0.65376,0.70862,0.75177,0.35179,1.91471,1.72004,2.05422,0.00082925,0.00082925,0.00082925
36,30.2345,1.41204,1.66901,1.5986,0.66636,0.8658,0.82945,0.41202,1.76908,1.45061,1.94459,0.000816875,0.000816875,0.000816875
37,31.019,1.44765,1.63991,1.60806,0.73022,0.89799,0.87056,0.41787,1.79553,1.48221,1.98166,0.0008045,0.0008045,0.0008045
38,31.8108,1.45074,1.60311,1.59418,0.65741,0.87054,0.86202,0.39527,1.92288,1.59429,2.05615,0.000792125,0.000792125,0.000792125
39,32.5916,1.46545,1.62927,1.62496,0.65256,0.80058,0.82167,0.396,1.92413,1.74715,2.05749,0.00077975,0.00077975,0.00077975
40,33.37,1.4064,1.53385,1.58258,0.67735,0.84336,0.78683,0.3935,1.89371,1.84248,2.06026,0.000767375,0.000767375,0.000767375
41,34.1406,1.37203,1.43536,1.54408,0.63035,0.81455,0.71132,0.37501,1.94073,1.72943,2.03589,0.000755,0.000755,0.000755
42,34.9131,1.42388,1.39721,1.54322,0.59995,0.76696,0.69652,0.3777,1.93422,1.70834,2.05941,0.000742625,0.000742625,0.000742625
43,35.6853,1.4019,1.54447,1.56727,0.61324,0.78175,0.69345,0.36709,1.90546,1.71838,2.02409,0.00073025,0.00073025,0.00073025
44,36.4593,1.40101,1.47825,1.5594,0.77964,0.69246,0.79533,0.4175,1.85225,1.43977,2.00079,0.000717875,0.000717875,0.000717875
45,37.2296,1.47559,1.46791,1.62056,0.74403,0.72516,0.79422,0.41015,1.86788,1.37397,2.02056,0.0007055,0.0007055,0.0007055
46,38.002,1.35445,1.35859,1.57003,0.69528,0.71908,0.79629,0.40781,1.88816,1.40103,2.11832,0.000693125,0.000693125,0.000693125
47,38.777,1.33923,1.3306,1.52427,0.54835,0.80159,0.75805,0.39938,1.90764,1.36224,2.13292,0.00068075,0.00068075,0.00068075
48,39.5535,1.45504,1.43987,1.5667,0.63843,0.62164,0.78271,0.40181,1.83993,1.32538,2.05674,0.000668375,0.000668375,0.000668375
49,40.324,1.48579,1.44112,1.5797,0.60369,0.7123,0.74489,0.41515,1.94693,1.30197,2.13434,0.000656,0.000656,0.000656
50,41.0972,1.43184,1.35745,1.59562,0.74106,0.74576,0.78249,0.4043,1.96833,1.31353,2.14044,0.000643625,0.000643625,0.000643625
51,41.8665,1.3579,1.35598,1.52272,0.62929,0.83787,0.7782,0.40576,1.83039,1.37305,2.03557,0.00063125,0.00063125,0.00063125
52,42.6412,1.30875,1.36127,1.51344,0.71934,0.82937,0.81674,0.40782,1.71515,1.28792,1.98152,0.000618875,0.000618875,0.000618875
53,43.4128,1.33854,1.35302,1.51318,0.71423,0.80159,0.82626,0.41328,1.75142,1.22826,2.00624,0.0006065,0.0006065,0.0006065
54,44.1844,1.24299,1.25373,1.46884,0.62692,0.80762,0.78461,0.39257,1.76401,1.30468,1.99567,0.000594125,0.000594125,0.000594125
55,44.9572,1.27489,1.30523,1.50153,0.73337,0.77077,0.79317,0.38388,1.82374,1.2503,2.0023,0.00058175,0.00058175,0.00058175
56,45.741,1.34319,1.28564,1.47622,0.66844,0.7873,0.77759,0.4399,1.68937,1.08986,1.86689,0.000569375,0.000569375,0.000569375
57,46.5245,1.24578,1.26231,1.45887,0.79983,0.75671,0.81783,0.43602,1.70311,1.0738,1.86089,0.000557,0.000557,0.000557
58,47.3102,1.30626,1.2625,1.43504,0.79171,0.69492,0.77641,0.42934,1.7278,1.14682,1.87995,0.000544625,0.000544625,0.000544625
59,48.0836,1.20998,1.20484,1.40766,0.79116,0.7155,0.77916,0.39037,1.74781,1.19538,1.90309,0.00053225,0.00053225,0.00053225
60,48.8614,1.19602,1.14589,1.38706,0.70723,0.85714,0.81129,0.45607,1.68765,0.99506,1.87523,0.000519875,0.000519875,0.000519875
61,49.6465,1.24816,1.16039,1.42878,0.79373,0.80673,0.80783,0.45416,1.76258,1.00726,1.9264,0.0005075,0.0005075,0.0005075
62,50.4145,1.30482,1.23651,1.48759,0.81683,0.78787,0.82214,0.45266,1.79965,1.06547,1.96828,0.000495125,0.000495125,0.000495125
63,51.1802,1.22564,1.22303,1.4288,0.779,0.75839,0.82394,0.42825,1.8542,1.10024,2.02303,0.00048275,0.00048275,0.00048275
64,51.9655,1.18778,1.08685,1.37146,0.70616,0.8795,0.82161,0.39944,1.83962,1.16767,2.05006,0.000470375,0.000470375,0.000470375
65,52.7344,1.24491,1.23465,1.4315,0.70983,0.87694,0.83908,0.38593,1.80931,1.17379,2.04437,0.000458,0.000458,0.000458
66,53.5034,1.22417,1.21953,1.4341,0.68479,0.8373,0.81094,0.37215,1.80056,1.19224,2.00386,0.000445625,0.000445625,0.000445625
67,54.277,1.17725,1.17014,1.41312,0.71041,0.82937,0.82818,0.37533,1.81323,1.22819,2.00606,0.00043325,0.00043325,0.00043325
68,55.0573,1.18855,1.13801,1.42207,0.81459,0.86553,0.88028,0.43453,1.76623,1.24862,2.02836,0.000420875,0.000420875,0.000420875
69,55.8377,1.22544,1.21316,1.44268,0.91202,0.80238,0.87045,0.46064,1.73404,1.22079,1.99697,0.0004085,0.0004085,0.0004085
70,56.6186,1.24462,1.13288,1.4512,0.76115,0.85153,0.85479,0.44712,1.77535,1.17724,1.99918,0.000396125,0.000396125,0.000396125
71,57.3867,1.18588,1.08748,1.3839,0.77707,0.85032,0.85724,0.46032,1.77518,1.13357,1.99173,0.00038375,0.00038375,0.00038375
72,58.1614,1.18756,1.08017,1.38301,0.78663,0.84909,0.85621,0.45638,1.71588,1.03155,1.9452,0.000371375,0.000371375,0.000371375
73,58.9292,1.16728,1.13643,1.4139,0.77156,0.82287,0.85356,0.47779,1.69161,1.02071,1.94343,0.000359,0.000359,0.000359
74,59.7162,1.22689,1.12614,1.43493,0.75681,0.84617,0.86558,0.48087,1.69032,1.03513,1.96031,0.000346625,0.000346625,0.000346625
75,60.4992,1.16301,1.04378,1.35805,0.74075,0.89286,0.8681,0.47503,1.67292,1.0256,1.9575,0.00033425,0.00033425,0.00033425
76,61.274,1.13776,1.04858,1.33661,0.8475,0.88735,0.88707,0.46188,1.67316,0.9796,1.9667,0.000321875,0.000321875,0.000321875
77,62.0416,1.12257,1.08035,1.37192,0.84581,0.88467,0.88634,0.49594,1.68035,0.97819,1.97197,0.0003095,0.0003095,0.0003095
78,62.8249,1.22516,1.15918,1.43369,0.88326,0.91841,0.92441,0.4937,1.68948,0.97896,1.96845,0.000297125,0.000297125,0.000297125
79,63.6074,1.14152,1.03234,1.35917,0.82494,0.84983,0.85768,0.49191,1.6845,0.97506,1.95185,0.00028475,0.00028475,0.00028475
80,64.3831,1.13199,1.06932,1.38164,0.82866,0.85714,0.85479,0.51064,1.64945,0.91412,1.95002,0.000272375,0.000272375,0.000272375
81,65.1688,1.15977,1.00743,1.32994,0.88126,0.89286,0.8854,0.48708,1.66161,0.929,1.94769,0.00026,0.00026,0.00026
